x,y,z,foc,aim x,aim y,aim z
m,m,m,m,m,m,m
8.89621466196097,-47.5905450290795,7,175.695200914906,0,0,187
23.087386947885,-59.5954154614652,7,196.782081084483,0,0,187
14.5910882513225,-78.0554279357702,7,185.739883471478,0,0,187
28.0920352962553,-98.7332627979296,7,210.732645579729,0,0,187
9.4715255800133,-102.214039314559,7,196.078651374298,0,0,187
21.7096802380245,-116.136531569134,7,204.177909518204,0,0,187
42.6800633534345,-110.16994314736,7,217.961616105619,0,0,187
36.5735603259045,-128.542731241507,7,213.113033943797,0,0,187
12.3311610755786,-133.074421045019,7,213.113033943797,0,0,187
27.404553827386,-146.601414475824,7,234.790444498839,0,0,187
53.8758784423199,-139.069673253585,7,222.781078133033,0,0,187
15.190796571144,-163.934802775478,7,233.088734111613,0,0,187
45.0550853555538,-158.352199685084,7,244.23176713517,0,0,187
33.0994274167476,-177.066297382515,7,243.953092589256,0,0,187
65.0716935312054,-167.969403359811,7,243.953092589257,0,0,187
9.39269271009557,-203.160844714383,7,270.264959509612,0,0,187
46.5634715230962,-197.975742506818,7,261.137191927468,0,0,187
64.6317369371206,-192.834877763072,7,261.137191927468,0,0,187
28.0979429878541,-201.427548019777,7,270.264959509612,0,0,187
59.8977541574399,-210.518769461344,7,273.096251642667,0,0,187
79.0664623923122,-204.094065992592,7,273.096251642667,0,0,187
40.2180194034495,-215.147401015879,7,281.49227109301,0,0,187
20.1951586883833,-217.940470803783,7,273.096251642667,0,0,187
10.8240377390907,-234.12036549758,7,285.397718031355,0,0,187
53.659242198709,-228.145109656898,7,293.107570382475,0,0,187
74.4809163189643,-222.220832592232,7,285.397718031355,0,0,187
32.3797663437301,-232.12293308767,7,285.397718031355,0,0,187
45.9128929928111,-245.612283922569,7,305.067462130162,0,0,187
23.0547941839486,-248.800852534243,7,297.998323871074,0,0,187
90.2622774811976,-232.993796098818,7,297.998323871074,0,0,187
68.3792791870892,-240.328237904921,7,305.067462130162,0,0,187
84.330095700808,-251.606787421393,7,310.86096947817,0,0,187
36.661589699606,-262.818318155564,7,310.86096947817,0,0,187
60.7550128743219,-258.314476806977,7,317.333750216782,0,0,187
12.2553827680858,-265.079886280776,7,310.86096947817,0,0,187
25.914429679514,-279.661234264702,7,323.953835544096,0,0,187
51.6077665821726,-276.07716682926,7,329.872889773916,0,0,187
101.458092570083,-261.893526205043,7,323.953835544096,0,0,187
76.8608042167384,-270.137706348498,7,323.953835544096,0,0,187
67.8507835499348,-288.483843957057,7,342.655453498261,0,0,187
13.6867277970809,-296.039407063972,7,337.2495997731,0,0,187
94.1792750826518,-280.992742250553,7,337.2495997731,0,0,187
40.943413055482,-293.513703223457,7,342.655453498261,0,0,187
28.7740651750793,-310.521615995162,7,350.724758374702,0,0,187
